"","ModMeanVal","ModMinVal","ModMaxVal","Age","AncVal","MCCAbsRateMean","MCCAbsRateMin","MCCAbsRateMax","MeanAbsRate_Mean","MeanLower95Rate","MeanUpper95Rate","MinAbsRate_Mean","MinLower95Rate","MinUpper95Rate","MaxAbsRate_Mean","MaxLower95Rate","MaxUpper95Rate"
"G_97.5_5",38.0444437662761,37.3666656494141,39.1,10.159042014,37.7193794927141,0.0319975321604148,0.0347192031309606,0.135900659273114,0.0337585142941025,0.00402902223449605,0.0767739438782891,0.0434091398068071,0.00987362881029628,0.0924048201943082,0.153911365772975,0.0362654948729664,0.325887737771417
"G_97.5_7",37.3666656494141,37.3666656494141,37.3666656494141,10.159042014,37.7193794927141,0.0347192031309606,0.0347192031309606,0.0347192031309606,0.0434091398068071,0.00987362881029628,0.0924048201943082,0.0434091398068071,0.00987362881029628,0.0924048201943082,0.0434091398068071,0.00987362881029628,0.0924048201943082
"G_97.5_8",42.166667175293,37.3333343505859,45.2333343505859,42.94213548,39.8218454476117,0.054604218012712,0.0579503340765335,0.126018160077172,0.0559581616905654,0.0295062734505753,0.0860212897663365,0.0653138175931644,0.0136965679017778,0.134394909287417,0.132901952652297,0.0746846635642433,0.198992777798793
"G_97.5_9",37.3666671752929,36.7,38.4333343505859,23.383270245,36.9011817611565,0.0199067713480316,0.00860366232133307,0.0655234521679898,0.026746028446672,0.000238131338984021,0.0597033313921344,0.00782803240743942,2.45727366618424e-06,0.0217568784164169,0.07722608565219,0.020536538110466,0.150593369534646
"G_97.5_10",43.266667175293,43.2,43.3333343505859,16.688376425,39.4128346274753,0.23092914790947,0.226934320995503,0.23492397482343,0.265990846080776,0.0901363933954938,0.55129226162141,0.261387738935369,0.0887016012560056,0.541753248528622,0.270593953226176,0.09157118553498,0.560831274714184
"G_97.5_13",39.1,39.1,39.1,40.154318814,37.8010167669467,0.0323497763483525,0.0323497763483525,0.0323497763483525,0.028740898991702,0.0114881471708183,0.0495966607811619,0.028740898991702,0.0114881471708183,0.0495966607811619,0.028740898991702,0.0114881471708183,0.0495966607811619
"G_97.5_14",34.2333343505859,34.2333343505859,34.2333343505859,84.79894173,34.3339817204849,0.00118689417397985,0.00118689417397985,0.00118689417397985,0.010327000962813,8.09666727377955e-05,0.0270848513846158,0.010327000962813,8.09666727377955e-05,0.0270848513846158,0.010327000962813,8.09666727377955e-05,0.0270848513846158
"G_97.5_15",42.8166671752929,41.5333343505859,44.1,42.94213548,39.8218454476117,0.0697408662658626,0.0398557007899932,0.0996260317417343,0.072230021535861,0.0434705403718286,0.108875221533608,0.0400234498586699,0.0162307385584447,0.0676406492243956,0.104441845961009,0.0611495884246051,0.156062507101588
"G_97.5_17",37.2333343505859,37.2333343505859,37.2333343505859,36.305359744,37.3509671257483,0.00324009391428384,0.00324009391428384,0.00324009391428384,0.00702812868276961,7.23116838295238e-06,0.0189190674911275,0.00702812868276961,7.23116838295238e-06,0.0189190674911275,0.00702812868276961,7.23116838295238e-06,0.0189190674911275
"G_97.5_18",37.4666656494141,37.4666656494141,37.4666656494141,9.97839808500001,36.2128560793913,0.125652390227607,0.125652390227607,0.125652390227607,0.153340937898207,0.0285116717621076,0.341528134159723,0.153340937898208,0.0285116717621078,0.341528134159725,0.153340937898208,0.0285116717621078,0.341528134159725
"G_97.5_20",37.4666656494141,37.4666656494141,37.4666656494141,9.00143817400001,37.4502929898839,0.00181889373827548,0.00181889373827627,0.00181889373827627,0.00301675404069945,2.36700729813706e-06,0.00829917744807376,0.00301675404069973,2.36700729882791e-06,0.008299177448076,0.00301675404069973,2.36700729882791e-06,0.008299177448076
"G_97.5_21",37.4666656494141,37.4666656494141,37.4666656494141,9.00143817400001,37.4502929898839,0.00181889373827548,0.00181889373827627,0.00181889373827627,0.00343923377119457,2.36700729813706e-06,0.0103514070260319,0.0034392337711949,2.36700729882791e-06,0.0103514070260331,0.0034392337711949,2.36700729882791e-06,0.0103514070260331
"S_97.5_1",25.1170731711097,-0.666666650772095,44.0666656494141,15.723396539,28.4947130023147,0.214816170464643,1.85464887187418,0.99036824572064,0.188045933201086,0.0877222810010637,0.325327975079653,1.94972610734927,1.01845988738539,3.21670655544669,1.10668949338297,0.516245408795444,1.82644405769805
